room,category,length,width,height
Baby,Babies Tableware,13.0,11.0,8.0
Baby,Babies Tableware,28.0,25.0,13.0
Baby,Babies Tableware,22.0,8.0,3.0
Baby,Babies Tableware,21.0,12.0,2.0
Baby,Babies Tableware,27.0,20.0,3.0
Baby,Babies Tableware,20.0,11.0,2.0
Baby,Babies Tableware,37.0,34.0,1.0
Baby,Babies Tableware,18.0,14.0,3.0
Baby,Babies Tableware,40.0,30.0,0.0
Baby,BabyAccessories,36.0,30.0,11.0
Baby,BabyAccessories,27.0,24.0,18.0
Baby,BabyAccessories,71.0,43.0,20.0
Baby,BabyAccessories,81.0,45.0,12.0
Baby,BabyAccessories,36.0,27.0,28.0
Baby,BabyAccessories,37.0,37.0,13.0
Baby,BabyAccessories,56.0,16.0,2.0
Baby,Changing-Table Nursing,33.0,26.0,3.0
Baby,Changing-Table Nursing,72.0,53.0,87.0
Baby,Changing-Table Nursing,27.0,25.0,21.0
Baby,Changing-Table Nursing,80.0,53.0,7.0
Baby,Changing-Table Nursing,74.0,48.0,9.0
Baby,Changing-Table Nursing,55.0,83.0,4.0
Baby,Changing-Table Nursing,74.0,48.0,4.0
Baby,Changing-Table Nursing,83.0,55.0,4.0
Baby,Changing-Table Nursing,55.0,83.0,4.0
Baby,Changing-Table Nursing,74.0,48.0,4.0
Baby,Changing-Table Nursing,93.0,43.0,7.0
Baby,Changing-Table Nursing,90.0,70.0,3.0
Baby,Changing-Table Nursing,89.0,36.0,6.0
Baby,ChildrensLighting,22.0,10.0,15.0
Baby,ChildrensLighting,34.0,18.0,40.0
Baby,ChildrensLighting,,,23.0
Baby,ChildrensLighting,39.0,38.0,10.0
Baby,ChildrensLighting,,,24.0
Baby,ChildrensLighting,,24.0,24.0
Baby,ChildrensLighting,,,24.0
Baby,ChildrensLighting,27.0,21.0,27.0
Baby,ChildrensLighting,31.0,31.0,21.0
Baby,ChildSafety,27.0,15.0,4.0
Baby,ChildSafety,90.0,33.0,1.0
Baby,ChildSafety,18.0,2.5,3.0
Baby,ChildSafety,19.0,15.0,2.0
Baby,ChildSafety,19.0,15.0,2.0
Baby,CotMatrices,120.0,60.0,6.0
Baby,CotMatrices,140.0,70.0,11.0
Baby,CotMatrices,140.0,70.0,8.0
Baby,CotMatrices,140.0,70.0,6.0
Baby,CotMatrices,120.0,60.0,8.0
Baby,CotMatrices,160.0,70.0,
Baby,CotMatrices,140.0,70.0,9.0
Baby,Cots,146.0,74.0,92.0
Baby,Cots,123.0,66.0,80.0
Baby,Cots,145.0,76.0,85.0
Baby,Cots,146.0,74.0,92.0
Baby,Cots,124.0,66.0,80.0
Baby,Cots,125.0,67.0,85.0
Baby,Cots,84.0,66.0,53.0
Baby,Cots,144.0,75.0,80.0
Baby,Cots,145.0,76.0,85.0
Baby,Cots,144.0,75.0,79.0
Baby,High Chairs,,58.0,90.0
Baby,High Chairs,,58.0,90.0
Baby,High Chairs,,56.0,82.0
Baby,High Chairs,42.0,42.0,6.0
Baby,High Chairs,40.0,39.0,35.0
Baby,High Chairs,81.0,13.0,73.0
Baby,High Chairs,26.0,21.0,2.0
Baby,High Chairs,22.0,18.0,2.0
Baby,High Chairs,31.0,21.0,4.0
Baby,High Chairs,95.0,52.0,93.0
Children3-7,Accesories,50.0,16.0,50.0
Children3-7,Accesories,70.0,40.0,70.0
Children3-7,Accesories,86.0,34.0,81.0
Children3-7,Accesories,70.0,40.0,70.0
Children3-7,ChildrenBed,,,80.0
Children3-7,ChildrenBed,,,80.0
Children3-7,ChildrenBed,,85.0,
Children3-7,ChildrenBed,165.0,77.0,
Children3-7,ChildrenBed,,85.0,
Children3-7,ChildrenBed,117.0,82.0,80.0
Children3-7,ChildrenBed,90.0,8.0,7.5
Children3-7,ChildrenBed,165.0,77.0,5.0
Children3-7,ChildrenBed,160.0,70.0,4.0
Children3-7,ChildrenBed,117.0,82.0,80.0
Children3-7,ChildrenBed,132.0,90.0,9.0
Children3-7,ChildrenBed,209.0,99.0,116.0
Children3-7,ChildrenBed,132.0,90.0,9.0
Children3-7,ChildrenLighting,22.0,10.0,15.0
Children3-7,ChildrenLighting,34.0,18.0,40.0
Children3-7,ChildrenLighting,,,23.0
Children3-7,ChildrenLighting,39.0,38.0,10.0
Children3-7,ChildrenLighting,,,24.0
Children3-7,ChildrenLighting,,24.0,24.0
Children3-7,ChildrenLighting,,,24.0
Children3-7,ChildrenLighting,27.0,21.0,27.0
Children3-7,ChildrenLighting,31.0,31.0,21.0
Children3-7,ChildrenMatricess,160.0,70.0,10.0
Children3-7,ChildrenMatricess,200.0,80.0,10.0
Children3-7,ChildrenMatricess,200.0,80.0,11.0
Children3-7,ChildrenMatricess,200.0,80.0,8.0
Children3-7,ChildrenMatricess,200.0,80.0,12.0
Children3-7,ChildrenMatricess,200.0,80.0,
Children3-7,ChildrenMatricess,160.0,70.0,
Children3-7,ChildrenMatricess,200.0,80.0,
Children3-7,DeskandChairs,80.0,45.0,79.0
Children3-7,DeskandChairs,79.0,41.0,77.0
Children3-7,DeskandChairs,79.0,41.0,77.0
Children3-7,DeskandChairs,60.0,41.0,79.0
Children3-7,DeskandChairs,60.0,41.0,79.0
BathroomAccessories,BathroomInteriorOrganizer,32.0,28.0,10.0
BathroomAccessories,BathroomScales,30.0,30.0,3.0
BathroomAccessories,BathroomScales,33.0,34.0,4.0
BathroomAccessories,BathroomSinkAccessories,11.0,,11.0
BathroomAccessories,BathroomSinkAccessories,13.0,9.0,2.0
BathroomAccessories,BathroomSinkAccessories,14.0,8.0,13.0
BathroomAccessories,BathroomSinkAccessories,37.0,35.0,90.0
BathroomAccessories,BathroomSinkAccessories,18.0,,18.0
BathroomAccessories,BathroomSinkAccessories,44.0,32.0,9.0
BathroomAccessories,BathroomSinkAccessories,16.0,11.0,16.0
BathroomAccessories,BathroomSinkAccessories,17.0,,17.0
BathroomAccessories,BathroomSinkAccessories,20.0,14.0,7.0
BathroomAccessories,BathroomSinkAccessories,13.0,11.0,8.0
BathroomAccessories,BathroomSinkAccessories,12.0,9.0,7.0
BathroomAccessories,BathroomSinkAccessories,11.0,,
BathroomAccessories,BathroomSinkAccessories,17.0,,17.0
BathroomAccessories,BathroomSinkAccessories,17.0,12.0,12.0
BathroomAccessories,BathroomSinkAccessories,12.0,9.0,9.0
BathroomAccessories,BathroomSinkAccessories,26.0,14.0,7.0
BathroomAccessories,BathroomSinkAccessories,12.0,8.0,2.0
BathroomAccessories,BathroomSinkAccessories,15.0,9.0,13.6
BathroomAccessories,BathroomSinkAccessories,37.0,35.0,26.0
BathroomAccessories,BathroomSinkAccessories,13.0,9.0,3.0
BathroomAccessories,BathroomSinkAccessories,11.0,,11.0
BathroomAccessories,BathroomSinkAccessories,11.0,8.0,18.0
BathroomAccessories,BathroomSinkAccessories,24.0,17.0,14.0
BathroomAccessories,BathroomSinkAccessories,12.0,,12.0
BathroomAccessories,BathroomSinkAccessories,19.0,9.0,7.0
BathroomAccessories,BathroomSinkAccessories,19.0,9.0,9.0
BathroomAccessories,BathroomSinkAccessories,16.0,12.0,3.0
BathroomAccessories,BathroomSinkAccessories,15.0,,17.0
BathroomAccessories,BathroomSinkAccessories,14.0,10.0,4.0
BathroomAccessories,BathroomSinkAccessories,11.0,9.0,11.0
BathroomAccessories,BathroomSinkAccessories,18.0,8.0,18.0
BathroomAccessories,BathroomSinkAccessories,13.0,9.0,2.0
BathroomAccessories,BathroomSinkAccessories,11.0,,11.0
BathroomAccessories,BathroomSinkAccessories,13.0,9.0,2.0
BathroomAccessories,BathroomSinkAccessories,14.0,8.0,13.0
BathroomAccessories,BathroomSinkAccessories,37.0,35.0,90.0
BathroomAccessories,BathroomSinkAccessories,18.0,,18.0
BathroomAccessories,BathroomSinkAccessories,44.0,32.0,9.0
BathroomAccessories,BathroomSinkAccessories,16.0,11.0,16.0
BathroomAccessories,BathroomSinkAccessories,17.0,,17.0
BathroomAccessories,BathroomSinkAccessories,20.0,14.0,7.0
BathroomAccessories,BathroomSinkAccessories,13.0,11.0,8.0
BathroomAccessories,BathroomSinkAccessories,12.0,9.0,7.0
BathroomAccessories,BathroomSinkAccessories,11.0,,
BathroomAccessories,BathroomSinkAccessories,17.0,,17.0
BathroomAccessories,BathroomSinkAccessories,17.0,12.0,12.0
BathroomAccessories,BathroomSinkAccessories,12.0,9.0,9.0
BathroomAccessories,BathroomSinkAccessories,26.0,14.0,7.0
BathroomAccessories,BathroomSinkAccessories,13.0,9.0,2.0
BathroomAccessories,BathroomSinkAccessories,11.0,9.0,11.0
BathroomAccessories,BathroomSinkAccessories,18.0,8.0,18.0
BathroomAccessories,BathroomSinkAccessories,13.0,9.0,2.0
BathroomAccessories,BathroomSinkAccessories,11.0,9.0,11.0
BathroomAccessories,BathroomSinkAccessories,21.0,10.0,7.0
BathroomAccessories,BathroomSinkAccessories,18.0,8.0,18.0
BathroomAccessories,BathroomSinkAccessories,13.2,9.1,3.0
BathroomAccessories,BathroomSinkAccessories,11.0,9.0,11.0
BathroomAccessories,BathroomSinkAccessories,11.0,,11.0
BathroomAccessories,BathroomSinkAccessories,12.0,9.0,5.0
BathroomAccessories,BathroomSinkAccessories,30.0,30.0,8.0
BathroomAccessories,BathroomSinkAccessories,18.0,8.0,18.0
BathroomAccessories,BathroomSinkAccessories,18.0,16.0,15.0
BathroomAccessories,BathroomSinkAccessories,15.0,,15.0
BathroomAccessories,BathroomSinkAccessories,13.0,10.0,13.0
BathroomAccessories,BathroomSinkAccessories,18.0,8.0,18.0
BathroomAccessories,BathroomSinkAccessories,18.0,8.0,18.0
BathroomAccessories,BathroomSinkAccessories,11.0,,11.0
BathroomAccessories,BathroomSinkAccessories,13.0,9.0,2.0
BathroomAccessories,BathroomSinkAccessories,14.0,8.0,13.0
BathroomAccessories,BathroomSinkAccessories,37.0,35.0,90.0
BathroomAccessories,BathroomSinkAccessories,18.0,,18.0
BathroomAccessories,BathroomSinkAccessories,44.0,32.0,9.0
BathroomAccessories,BathroomSinkAccessories,16.0,11.0,16.0
BathroomAccessories,BathroomSinkAccessories,17.0,,17.0
BathroomAccessories,BathroomSinkAccessories,20.0,14.0,7.0
BathroomAccessories,BathroomSinkAccessories,13.0,11.0,8.0
BathroomAccessories,BathroomSinkAccessories,12.0,9.0,7.0
BathroomAccessories,BathroomSinkAccessories,11.0,,
BathroomAccessories,BathroomSinkAccessories,17.0,,17.0
BathroomAccessories,BathroomSinkAccessories,17.0,12.0,12.0
BathroomAccessories,BathroomSinkAccessories,12.0,9.0,9.0
BathroomAccessories,BathroomSinkAccessories,26.0,14.0,7.0
BathroomAccessories,ShowerAccessories,25.0,24.0,14.0
BathroomAccessories,ShowerAccessories,46.0,,
BathroomAccessories,ShowerAccessories,28.0,30.0,17.0
BathroomAccessories,ShowerAccessories,29.0,28.0,17.0
BathroomAccessories,ShowerAccessories,84.0,33.0,
BathroomAccessories,ShowerAccessories,26.0,24.1,6.0
BathroomAccessories,ShowerAccessories,27.0,14.0,7.0
BathroomAccessories,ShowerAccessories,26.0,12.0,5.0
BathroomAccessories,ShowerAccessories,60.0,19.0,58.0
BathroomAccessories,ShowerAccessories,15.0,6.0,10.0
BathroomAccessories,ShowerAccessories,19.0,9.0,4.0
BathroomAccessories,ShowerAccessories,11.0,10.0,9.0
BathroomAccessories,ShowerAccessories,19.0,9.0,4.0
BathroomAccessories,ToiletAccessories,15.0,14.0,6.0
BathroomAccessories,ToiletAccessories,14.0,13.0,6.0
BathroomAccessories,ToiletAccessories,44.0,36.0,4.4
BathroomAccessories,ToiletAccessories,11.0,14.0,4.0
BathroomAccessories,ToiletAccessories,48.0,,
BathroomAccessories,ToiletAccessories,61.0,15.0,60.0
BathroomAccessories,ToiletAccessories,30.0,16.0,61.0
BathroomAccessories,ToiletAccessories,19.0,23.0,27.0
BathroomAccessories,ToiletAccessories,16.0,17.5,10.0
BathroomAccessories,ToiletAccessories,34.0,,
BathroomAccessories,ToiletAccessories,40.0,13.0,11.0
BathroomAccessories,ToiletAccessories,15.0,11.0,3.0
BathroomAccessories,ToiletAccessories,19.0,23.0,27.0
BathroomAccessories,ToiletAccessories,16.0,15.0,4.0
BathroomAccessories,ToiletAccessories,38.0,15.0,39.0
BathroomAccessories,ToiletAccessories,47.0,37.0,7.0
BathroomAccessories,ToiletAccessories,47.0,37.0,7.0
BathroomAccessories,ToiletAccessories,48.0,14.0,4.0
BathroomAccessories,ToiletAccessories,39.0,10.0,10.0
BathroomAccessories,ToiletAccessories,19.0,23.0,27.0
BathroomAccessories,ToiletAccessories,39.0,10.0,10.0
BathroomAccessories,ToiletAccessories,50.0,,
BathroomAccessories,ToiletAccessories,31.0,12.0,12.0
BathroomAccessories,ToiletAccessories,47.0,37.0,7.0
BathroomAccessories,ToiletAccessories,29.0,10.0,43.0
BathroomAccessories,ToiletAccessories,39.0,10.0,10.0
BathroomAccessories,ToiletAccessories,39.0,10.0,10.0
BathroomAccessories,ToiletAccessories,39.0,10.0,10.0
BathroomAccessories,ToiletAccessories,25.0,17.0,24.0
BathroomAccessories,ToiletAccessories,25.0,17.0,24.0
BathroomAccessories,ToiletAccessories,45.0,35.0,6.0
BathroomAccessories,ToiletAccessories,47.0,37.0,7.0
BathroomAccessories,TowelRails&TowelHolders,152.0,57.0,150.0
BathroomAccessories,TowelRails&TowelHolders,9.0,9.0,6.0
BathroomAccessories,TowelRails&TowelHolders,30.0,29.0,14.0
BathroomAccessories,TowelRails&TowelHolders,46.0,9.0,9.0
BathroomAccessories,TowelRails&TowelHolders,22.0,20.0,6.0
BathroomAccessories,TowelRails&TowelHolders,67.0,10.0,4.0
BathroomAccessories,TowelRails&TowelHolders,47.0,10.0,4.0
BathroomAccessories,TowelRails&TowelHolders,46.0,10.0,10.0
BathroomAccessories,TowelRails&TowelHolders,37.0,35.0,13.0
BathroomAccessories,TowelRails&TowelHolders,18.0,5.0,18.0
BathroomAccessories,TowelRails&TowelHolders,8.0,3.0,7.0
BathroomAccessories,TowelRails&TowelHolders,68.0,14.0,5.0
BathroomAccessories,TowelRails&TowelHolders,22.0,13.0,13.0
BathroomAccessories,TowelRails&TowelHolders,48.0,14.0,5.0
BathroomAccessories,TowelRails&TowelHolders,28.0,27.0,5.0
BathroomAccessories,TowelRails&TowelHolders,8.0,6.0,8.0
BathroomAccessories,TowelRails&TowelHolders,98.0,39.0,140.0
BathroomAccessories,TowelRails&TowelHolders,37.0,8.0,8.0
BathroomAccessories,TowelRails&TowelHolders,63.0,6.0,5.0
BathroomAccessories,TowelRails&TowelHolders,52.0,47.0,4.0
BathroomAccessories,TowelRails&TowelHolders,46.0,16.0,3.0
BathroomAccessories,TowelRails&TowelHolders,152.0,56.0,150.0
BathroomAccessories,TowelRails&TowelHolders,68.7,8.0,7.0
BathroomStorage,Bathroom High Cabinet,,30.0,194.0
BathroomStorage,Bathroom High Cabinet,,30.0,194.0
BathroomStorage,Bathroom High Cabinet,,30.0,194.0
BathroomStorage,Bathroom High Cabinet,,30.0,189.0
BathroomStorage,Bathroom High Cabinet,,40.0,183.5
BathroomStorage,Bathroom High Cabinet,,40.0,183.5
BathroomStorage,Bathroom High Cabinet,104.0,64.0,195.0
BathroomStorage,Bathroom High Cabinet,197.0,40.0,192.0
BathroomStorage,Bathroom High Cabinet,185.0,30.0,179.0
BathroomStorage,Bathroom High Cabinet,135.0,42.0,131.0
BathroomStorage,Bathroom High Cabinet,193.0,30.0,179.0
BathroomStorage,Bathroom High Cabinet,199.0,40.0,192.0
BathroomStorage,Bathroom High Cabinet,176.0,40.0,172.2
BathroomStorage,Bathroom High Cabinet,193.0,30.0,179.0
BathroomStorage,Bathroom High Cabinet,73.0,40.0,172.2
BathroomStorage,Bathroom High Cabinet,193.0,30.0,179.0
BathroomStorage,Bathroom High Cabinet,208.0,49.0,200.0
BathroomStorage,Bathroom High Cabinet,197.0,40.0,192.0
BathroomStorage,Bathroom High Cabinet,197.0,40.0,192.0
BathroomStorage,Bathroom High Cabinet,199.0,40.0,192.0
BathroomStorage,Bathroom Trolleys,72.0,48.0,77.0
BathroomStorage,Bathroom Trolleys,40.5,32.0,74.5
BathroomStorage,Bathroom Wall Cabinets,67.0,60.0,64.0
BathroomStorage,Bathroom Wall Cabinets,64.0,40.0,58.0
BathroomStorage,Bathroom Wall Cabinets,73.0,19.0,64.0
BathroomStorage,Bathroom Wall Cabinets,101.0,60.0,96.0
BathroomStorage,Bathroom Wall Cabinets,72.0,60.0,68.0
BathroomStorage,Bathroom Wall Cabinets,101.0,80.0,96.0
BathroomStorage,Bathroom Wall Cabinets,108.0,40.0,96.0
BathroomStorage,Bathroom Wall Cabinets,153.0,30.0,125.0
BathroomStorage,Bathroom Wall Cabinets,67.0,60.0,64.0
BathroomStorage,Bathroom Wall Cabinets,101.0,80.0,96.0
BathroomStorage,Bathroom Wall Cabinets,97.0,83.0,98.0
BathroomStorage,Bathroom Wall Cabinets,73.0,40.0,64.0
BathroomStorage,Bathroom Wall Cabinets,109.0,40.0,96.0
BathroomStorage,Bathroom Wall Cabinets,111.0,40.0,96.0
BathroomStorage,Bathroom Wall Cabinets,73.0,40.0,64.0
BathroomStorage,Bathroom Wall Cabinets,102.0,100.0,96.0
BathroomStorage,Bathroom Wall Cabinets,73.0,19.0,64.0
BathroomStorage,Bathroom Wall Cabinets,102.0,63.0,98.0
BathroomStorage,Bathroom Wall Cabinets,64.0,40.0,58.0
BathroomStorage,Bathroom Wall Cabinets,110.0,40.0,96.0
BathroomStorage,Bathroom Wall Cabinets,73.0,40.0,64.0
BathroomStorage,Bathroom Wall Cabinets,102.0,103.0,98.0
BathroomStorage,Bathroom Wall Cabinets,73.0,40.0,64.0
BathroomStorage,Bathroom Wall Cabinets,64.0,40.0,58.0
BathroomStorage,Bathroom Wall Cabinets,101.0,60.0,96.0
BathroomStorage,Bathroom Wall Cabinets,73.0,19.0,64.0
BathroomStorage,Bathroom Wall Cabinets,73.0,19.0,64.0
BathroomStorage,Glass Sleves,68.0,67.0,9.0
BathroomStorage,Glass Sleves,68.0,14.0,5.0
BathroomStorage,Glass Sleves,63.0,62.4,5.0
BathroomStorage,Shelf Units,,40.0,136.0
BathroomStorage,Shelf Units,,40.0,148.0
BathroomStorage,Shelf Units,,40.0,176.0
BathroomStorage,Shelf Units,,80.0,
BathroomStorage,Shelf Units,,80.0,
BathroomStorage,Shelf Units,,80.0,
BathroomStorage,Shelf Units,,120.0,
BathroomStorage,Shelf Units,,40.0,134.0
BathroomStorage,Shelf Units,,40.0,174.0
BathroomStorage,Shelf Units,41.0,40.0,108.0
BathroomStorage,Shelf Units,41.0,40.0,40.0
BathroomStorage,Shelf Units,120.0,42.0,118.0
BathroomStorage,Shelf Units,105.0,42.0,103.0
BathroomStorage,Shelf Units,71.0,70.0,189.0
BathroomStorage,Shelf Units,96.0,47.0,90.0
BathroomStorage,Shelf Units,41.0,40.0,96.0
BathroomStorage,Shelf Units,172.0,42.0,172.0
BathroomStorage,Shelf Units,102.0,33.0,163.0
BathroomStorage,Shelf Units,37.0,36.0,19.0
BathroomStorage,Shelf Units,45.0,40.0,54.0
BathroomStorage,Shelf Units,177.0,37.0,176.0
BathroomStorage,Shelf Units,42.0,40.0,40.0
BathroomStorage,Shelf Units,96.0,47.0,90.0
BathroomStorage,Shelf Units,154.0,46.0,150.0
BathroomStorage,Shelf Units,176.0,42.0,176.0
BathroomStorage,Shelf Units,155.0,46.0,150.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,80.0,50.0,1.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,45.0,45.0,3.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,80.0,50.0,1.0
Towels&Bathmats,BathMats,60.0,40.0,1.0
Towels&Bathmats,BathMats,80.0,50.0,1.0
Towels&Bathmats,BathMats,80.0,50.0,1.0
Towels&Bathmats,BathMats,60.0,40.0,1.0
Towels&Bathmats,BathMats,60.0,40.0,1.0
Towels&Bathmats,BathMats,60.0,40.0,1.0
Towels&Bathmats,BathMats,80.0,50.0,1.0
Towels&Bathmats,BathMats,60.0,40.0,1.0
Towels&Bathmats,BathMats,60.0,40.0,1.0
Towels&Bathmats,BathMats,60.0,40.0,1.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,57.0,36.0,1.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,80.0,50.0,2.0
Towels&Bathmats,BathMats,60.0,40.0,1.0
Towels&Bathmats,BathMats,60.0,40.0,2.0
Towels&Bathmats,Bathropes&Slippers,31.0,12.0,3.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel100times150,150.0,100.0,5.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel100times150,150.0,100.0,6.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel100times150,150.0,100.0,10.0
Towels&Bathmats,Towel100times150,150.0,100.0,10.0
Towels&Bathmats,Towel100times150,150.0,100.0,10.0
Towels&Bathmats,Towel100times150,150.0,100.0,10.0
Towels&Bathmats,Towel100times150,150.0,100.0,7.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel100times150,150.0,100.0,7.0
Towels&Bathmats,Towel100times150,150.0,100.0,7.0
Towels&Bathmats,Towel100times150,150.0,100.0,10.0
Towels&Bathmats,Towel100times150,150.0,100.0,11.0
Towels&Bathmats,Towel30times30,30.0,30.0,1.0
Towels&Bathmats,Towel30times30,30.0,30.0,5.0
Towels&Bathmats,Towel30times30,30.0,30.0,1.0
Towels&Bathmats,Towel30times30,30.0,30.0,5.0
Towels&Bathmats,Towel30times30,30.0,30.0,1.0
Towels&Bathmats,Towel30times30,30.0,30.0,1.0
Towels&Bathmats,Towel30times30,30.0,30.0,1.0
Towels&Bathmats,Towel30times30,30.0,30.0,1.0
